1	1	1	OC	3	30	20	1
2	2	1	OC	3	30	20	1
3	3	1	OC	3	30	20	1
4	4	1	OC	3	30	20	1
5	5	1	OC	3	30	20	1
6	6	1	OC	3	30	20	1
7	7	1	OC	3	30	20	1
8	8	1	OC	3	30	20	1
9	9	1	OC	3	30	20	1
10	10	1	TCO	12	80	50	2
11	11	1	TCO	13	80	50	2
12	12	1	TCO	6	80	50	2
13	13	1	TCO	4	80	50	2
14	14	1	TEI	14	100	50	2
15	15	1	TEI	2	100	50	2
16	16	1	TEI	1	100	50	2
17	17	1	DE	4	50	30	1
18	18	1	DE	4	50	30	1
19	19	1	DE	4	50	30	1
20	20	1	DE	4	50	30	1
21	21	1	DE	4	50	30	1
22	22	1	DE	4	50	30	1
23	23	1	DE	4	50	30	1
24	24	1	DE	4	50	30	1
25	25	1	DE	4	50	30	1
26	1	2	OC	3	30	20	1
27	2	2	OC	3	30	20	1
28	3	2	OC	3	30	20	1
29	4	2	OC	3	30	20	1
30	5	2	OC	3	30	20	1
31	6	2	OC	3	30	20	1
32	7	2	OC	3	30	20	1
33	8	2	OC	3	30	20	1
34	9	2	OC	3	30	20	1
35	10	2	TCO	12	80	50	2
36	11	2	TCO	13	80	50	2
37	12	2	TCO	6	80	50	2
38	13	2	TCO	4	80	50	2
39	14	2	TEI	14	100	50	2
40	15	2	TEI	2	100	50	2
41	16	2	TEI	1	100	50	2
42	17	2	DE	4	50	30	1
43	18	2	DE	4	50	30	1
44	19	2	DE	4	50	30	1
45	20	2	DE	4	50	30	1
46	21	2	DE	4	50	30	1
47	22	2	DE	4	50	30	1
48	23	2	DE	4	50	30	1
49	24	2	DE	4	50	30	1
50	25	2	DE	4	50	30	1
51	1	3	OC	3	30	20	1
52	2	3	OC	3	30	20	1
53	3	3	OC	3	30	20	1
54	4	3	OC	3	30	20	1
55	5	3	OC	3	30	20	1
56	6	3	OC	3	30	20	1
57	7	3	OC	3	30	20	1
58	8	3	OC	3	30	20	1
59	9	3	OC	3	30	20	1
60	10	3	TCO	12	80	50	2
61	11	3	TCO	13	80	50	2
62	12	3	TCO	6	80	50	2
63	13	3	TCO	4	80	50	2
64	14	3	TEI	14	100	50	2
65	15	3	TEI	2	100	50	2
66	16	3	TEI	1	100	50	2
67	17	3	DE	4	50	30	1
68	18	3	DE	4	50	30	1
69	19	3	DE	4	50	30	1
70	20	3	DE	4	50	30	1
71	21	3	DE	4	50	30	1
72	22	3	DE	4	50	30	1
73	23	3	DE	4	50	30	1
74	24	3	DE	4	50	30	1
75	25	3	DE	4	50	30	1
